,,,,atlas change,,,,,,,,data quality change (is this always related to a field?),gov quality change (this has its own search engine and own shema)
Field name,Field type,filled when entity created,Definition,update name,update definition,add relation to a person,delete relation to a person,create person entity (no relationships),create DG entity (no relationhsips),add/delete relationship with child,add/delete relationship between attribute and field,,
breadcrumbguid,list[text],,,,,,,,,update,,,
breadcrumbname,list[text],,,update,,,,,,update,,,
breadcrumbtype,list[text],,,,,,,,,update,,,
businessruleid,number,,,,,,,,,,,,
classificationstext,text,,,,,,,,,,,,
definition,text,,Meaning of the entity,,update,,,,,,,,
derivedcollection,list[text],,,potential propagated update,,,,,,potential propagated update,,,
derivedcollectionguid,list[text],,,,,,,,,potential propagated update,,,
deriveddataattribute,list[text],,,potential propagated update,,,,,,potential propagated update,,,
deriveddataattributeguid,list[text],,,,,,,,,potential propagated update,,,
deriveddatadomain,list[text],,,potential propagated update,,,,,,potential propagated update,,,
deriveddatadomainguid,list[text],,,,,,,,,potential propagated update,,,
deriveddataentity,list[text],,,potential propagated update,,,,,,potential propagated update,,,
deriveddataentityguid,list[text],,,,,,,,,potential propagated update,,,
deriveddataownerguid,list[text],,,,,potential propagated update,potential propagated update,,,,,,
deriveddataset,list[text],,,potential propagated update,,,,,,potential propagated update,,,
deriveddatasetguid,list[text],,,,,,,,,potential propagated update,,,
deriveddatasetguids,list[text],,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),,
deriveddatasetnames,list[text],,,potential propagated update,,,,,,potential propagated update,potential propagated update (dependent on mutual information),,
deriveddatastewardguid,list[text],,,,,potential propagated update,potential propagated update,,,,,,
deriveddomainleadguid,list[text],,,,,potential propagated update,potential propagated update,,,,,,
derivedentityguids,list[text],,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),,
derivedentitynames,list[text],,,potential propagated update,,,,,,potential propagated update,potential propagated update (dependent on mutual information),,
derivedfield,list[text],,,potential propagated update,,,,,,potential propagated update,,,
derivedfieldguid,list[text],,,,,,,,,potential propagated update,,,
derivedperson,list[text],,Name of the associated person,potential propagated update,,define name,delete name ,,,,,,
derivedpersonguid,list[text],,Guid of the associated person,,,define guid,delete guid,,,,,,
derivedsystem,list[text],,,potential propagated update,,,,,,potential propagated update,,,
derivedsystemguid,list[text],,,,,,,,,potential propagated update,,,
dqscore_accuracy,number,,,,,,,,,,,potential update,
dqscore_completeness,number,,,,,,,,,,,potential update,
dqscore_overall,number,,,,,,,,,,,potential update,
dqscore_timeliness,number,,,,,,,,,,,potential update,
dqscore_uniqueness,number,,,,,,,,,,,potential update,
dqscore_validity,number,,,,,,,,,,,potential update,
dqscorecnt_accuracy,number,,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),,
dqscorecnt_completeness,number,,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),,
dqscorecnt_overall,number,,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),,
dqscorecnt_timeliness,number,,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),,
dqscorecnt_uniqueness,number,,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),,
dqscorecnt_validity,number,,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),,
dqscoresum_accuracy,number,,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),potential propagated update,
dqscoresum_completeness,number,,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),potential propagated update,
dqscoresum_overall,number,,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),potential propagated update,
dqscoresum_timeliness,number,,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),potential propagated update,
dqscoresum_uniqueness,number,,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),potential propagated update,
dqscoresum_validity,number,,,,,,,,,potential propagated update,potential propagated update (dependent on mutual information),potential propagated update,
email,text,,,,,,,define ,,,,,
entityname,text,,not being used???,,,,,,,,,,
guid,text,filled,GUID of the entity in Atlas,,,,,define ,define ,,,,
id,text,automatically created,appsearch document ID; automatically generated by app search,,,,,define ,define ,,,,
m4isourcetype,list[text],filled based on typename,"Bringing back the typename to a m4i basic type: m4i_data_somain, m4i_data entity, m4i_data_attribute, m4i_person, m4i_system, m4i_collection, m4i_dataset, m4i_field.",,,,,define ,define ,,,,
name,text,,Name of the entity,update,,,,define ,define ,,,,
parentguid,text,,"guid of the parent of the entity, null otherwise",,,,,,,update,,,
qualityguid_accuracy,text,,,,,,,,,,,,
qualityguid_completeness,text,,,,,,,,,,,,
qualityguid_timeliness,text,,,,,,,,,,,,
qualityguid_uniqueness,text,,,,,,,,,,,,
qualityguid_validity,text,,,,,,,,,,,,
referenceablequalifiedname,text,,Qualified name of the entity,,,,,define ,define ,,,,
sourcetype,text,automatically filled,Business/Technical,,,,,define ,define ,,,,
supertypenames,list[text],automatically filled,List of all supertypes of the typename,,,,,define ,define ,,,,
typename,text,filled,Type name of the entity. Uusually starts with m4i_,,,,,define ,define ,,,,
